conversation_id,start,end,n_regions,duration,start_hms,end_hms
1,0.21,143.47,13,143.26,00:00.210,02:23.470
2,150.93,215.46,4,64.53,02:30.930,03:35.460
3,223.63,389.02,14,165.39,03:43.630,06:29.020
4,400.6,406.05,1,5.449999999999989,06:40.600,06:46.050
5,411.66,464.88,8,53.21999999999997,06:51.660,07:44.880
6,470.05,472.68,1,2.6299999999999955,07:50.050,07:52.680
7,478.26,481.85,1,3.590000000000032,07:58.260,08:01.850
8,493.63,505.0,2,11.370000000000005,08:13.630,08:25.000
9,513.31,659.61,8,146.30000000000007,08:33.310,10:59.610
